"字詞名","注音一式","釋義"
"策略","ㄘㄜˋ　ㄌㄩㄝˋ","謀略、計畫。[例]這家公司的經營策略是薄利多銷。"
"策劃","ㄘㄜˋ　ㄏㄨㄚˋ","計劃。[例]今年的迎新舞會將由學生會負責策劃。"
"策士","ㄘㄜˋ　ㄕˋ","有計謀的人。[例]今天總經理有此決定，必是他身邊的策士所獻的謀略。"
"策應","ㄘㄜˋ　ㄧㄥˋ","部隊相呼應，協同作戰。[例]本次戰役中，由於陸空兩部隊互相策應，我方終於大獲全勝。"
"猜","ㄘㄞ","1.推測、想像。[例]猜謎、猜想、猜測
2.懷疑、疑心。[例]猜忌、猜疑、兩小無猜"
"猜謎","ㄘㄞ　ㄇㄧˊ","根據謎面猜測謎底。[例]他說話老是喜歡拐彎抹角，和人玩猜謎遊戲。"
"猜度","ㄘㄞ　ㄉㄨㄛˋ","猜測、推想。[例]此事未經證實前，切勿任意猜度。"
"猜忌","ㄘㄞ　ㄐㄧˋ","不信任別人，猜想別人將對自己不利。[例]他們倆表面上稱兄道弟，私底下卻互相猜忌，各懷鬼胎。"
"猜拳","ㄘㄞ　ㄑㄩㄢˊ","一種遊戲，有各種不同的方式。最簡單的一種是：同時伸出食指、中指代表「剪刀」，握拳代表「石頭」，攤開手掌代表「布」。如果石頭對上布，布贏；剪刀對上石頭，石頭贏；布對上剪刀，剪刀贏。[例]我們猜拳，輸的人洗碗。"
"猜想","ㄘㄞ　ㄒㄧㄤˇ","推測料想。[例]雨這麼大，我猜想他不會來了。"
"猜測","ㄘㄞ　ㄘㄜˋ","揣測、推想。[例]沒有真憑實據，就不宜妄加猜測。"
"猜疑","ㄘㄞ　ㄧˊ","猜忌懷疑。[例]他行動鬼鬼祟祟，居心令人猜疑。"
"才","ㄘㄞˊ","1.能力。[例]才能、多才多藝、口才
2.有才能、智慧的人。[例]天才、幹才、英才
3.譏稱某類的人。[例]蠢才、奴才
4.方、始。[例]我才知道是你幫了我的忙的。
5.僅。[例]他才五歲，就會幫忙做家事了。
6.表示強調的語氣。[例]他哪有我累？我才累呢！
7.姓。"
"才貌","ㄘㄞˊ　ㄇㄠˋ","才華與容貌。[例]才貌雙全"
"才貌雙全","ㄘㄞˊ　ㄇㄠˋ　ㄕㄨㄤ　ㄑㄩㄢˊ","才學與外貌兼備。[例]相傳何仙姑是一位才貌雙全的女子。"
"才能","ㄘㄞˊ　ㄋㄥˊ","才智與能力。[例]他擁有絕佳的協商才能，最適宜從政。"
"才女","ㄘㄞˊ　ㄋㄩˇ","才藝出眾的女子。[例]她精通琴棋書畫，是大家公認的才女。"
"才高八斗","ㄘㄞˊ　ㄍㄠ　ㄅㄚ　ㄉㄡˇ","比喻才學極高。[例]他才高八斗，又勇於嘗試創作，在文壇上極負盛名。"
"才幹","ㄘㄞˊ　ㄍㄢˋ","做事的能力。[例]董事長欣賞他的才幹，擢升他為業務部經理。"
"才華","ㄘㄞˊ　ㄏㄨㄚˊ","表現於外的才能。[例]他才華洋溢，人緣又好，是全校的風雲人物。"
"才具","ㄘㄞˊ　ㄐㄩˋ","才能、能力。[例]她頗有才具，是服裝界的明日之星。"
"才俊","ㄘㄞˊ　ㄐㄩㄣˋ","才能出眾的人。[例]他是個青年才俊，公司準備大力栽培他。"
"才氣","ㄘㄞˊ　ㄑㄧˋ","表現在外的才能氣度。[例]他才氣縱橫，是畫壇中年輕一輩的佼佼者。"
"才情","ㄘㄞˊ　ㄑㄧㄥˊ","天資、才華。[例]她既美麗又有才情，是大家注視的焦點。"
"才學","ㄘㄞˊ　ㄒㄩㄝˊ","才能與學識。[例]畢業後，他幸運的找到一份得以發揮才學的工作。"
"才智","ㄘㄞˊ　ㄓˋ","才能與智慧。[例]他憑著聰明才智，順利度過許多難關。"
"才識","ㄘㄞˊ　ㄕˋ","才華器識。[例]他的才識過人，終有受重用之日。"
"才疏學淺","ㄘㄞˊ　ㄕㄨ　ㄒㄩㄝˊ　ㄑㄧㄢˇ","才識不廣，學問不深。多用作自謙之詞。[例]雖然我才疏學淺，但願盡棉薄之力。"
"才子","ㄘㄞˊ　ㄗˇ","才華出眾的人。[例]他的創作源源不斷，是文壇有名的才子。"
"才藝","ㄘㄞˊ　ㄧˋ","才華與技藝。[例]學習任何才藝，都必須投注相當的心力，才能成功。"
"材","ㄘㄞˊ","1.木料、樹幹。[例]木材、美木良材
2.原料、物料。[例]建材、器材、藥材
3.資料。[例]題材、教材、素材
4.資質、能力。[例]因材施教
5.棺材。[例]壽材
6.量詞。計算某些建材體積或面積的單位。[例]今天工地共進了三百材櫸木和三分厚的玻璃兩百材。"
"材料","ㄘㄞˊ　ㄌㄧㄠˋ","1.一切可供製作的原料或可供取用的資料。[例]這個故事是寫小說的好材料。
2.適合從事某事的人。[例]他手指靈巧，音感又佳，是塊學習樂器的材料。"
"材質","ㄘㄞˊ　ㄓˊ","工業設計或藝術創作上所稱的創作材料。[例]這套廚具以不鏽鋼材質製成，非常耐用。"
"財","ㄘㄞˊ","錢幣貨物的總稱。[例]理財、財產、生財有道"
"財寶","ㄘㄞˊ　ㄅㄠˇ","錢財珍寶。[例]金銀財寶"
"財迷心竅","ㄘㄞˊ　ㄇㄧˊ　ㄒㄧㄣ　ㄑㄧㄠˋ","過度貪戀錢財而蒙蔽了理性。[例]他真是財迷心竅了，才會去搶劫銀行。"
"財閥","ㄘㄞˊ　ㄈㄚˊ","在金融、工商界具有壟斷或強大經濟勢力的人物及團體。[例]那家公司最近已被某大財閥併購。"
"財富","ㄘㄞˊ　ㄈㄨˋ","有價值或能滿足人類所需的物品。[例]他從商多年，累積了不少財富。"
"財大氣粗","ㄘㄞˊ　ㄉㄚˋ　ㄑㄧˋ　ㄘㄨ","財產富厚而氣質粗野。多指富者倚仗財勢蠻橫囂張。[例]那個暴發戶財大氣粗，說話蠻橫不講理。"
"財團","ㄘㄞˊ　ㄊㄨㄢˊ","1.擁有或控制許多關係企業的大資本家或集團。[例]這個社區是由某財團規劃興建的。
2.→財團法人"
"財團法人","ㄘㄞˊ　ㄊㄨㄢˊ　ㄈㄚˇ　ㄖㄣˊ","民法上指為達成既定的社會公益目標，依法律程序登記成立的非營利組織或團體。財團法人如未達其既定目的，或已完成目的而須解散時，其財產必須交與政府。[例]財團法人董氏基金會　△財團"
"財力","ㄘㄞˊ　ㄌㄧˋ","資金、錢財等的數量。[例]這個企業集團財力雄厚，名下產業不計其數。"
"財經","ㄘㄞˊ　ㄐㄧㄥ","財政和經濟。[例]他是財經方面的專家，擁有卓越的見解。"
"財政","ㄘㄞˊ　ㄓㄥˋ","政府有關錢財方面的事務。[例]由於全世界經濟不景氣，政府的財政也陷入窘境。"
"財主","ㄘㄞˊ　ㄓㄨˇ","擁有大批財產的人。[例]他擁有大片土地，是當地數一數二的財主。"
"財產","ㄘㄞˊ　ㄔㄢˇ","財物和產業的總稱。[例]他膝下無子，準備死後將所有財產捐贈給慈善機構。"
"財產權","ㄘㄞˊ　ㄔㄢˇ　ㄑㄩㄢˊ","有經濟利益價值的權利，如物權、準物權、債權和無體財產權。原則上可由所有者自由處分之。[例]自父親過世後，他們兩兄弟一直在爭奪這房子的財產權。"
"財神","ㄘㄞˊ　ㄕㄣˊ","神話傳說中掌管財經的神。亦戲稱掌管錢財或能給人錢財的人。[例]不要三天兩頭的向我借錢，我可不是財神。　△財神爺"
"財物","ㄘㄞˊ　ㄨˋ","錢財物品的總稱。[例]他家昨晚遭小偷，財物損失不小。"
"財務","ㄘㄞˊ　ㄨˋ","機關、企業、團體中有關財產的管理、經營或現金之出納、計算、保管等的事務。[例]這家公司因營運得當，財務狀況一向良好。"
"財源","ㄘㄞˊ　ㄩㄢˊ","錢財的來源。[例]觀光果園的開放，已成為農民的一項重要財源。"
"財運","ㄘㄞˊ　ㄩㄣˋ","獲得錢財的機運。[例]他的財運極佳，常有意外之財。"
"裁","ㄘㄞˊ","1.用刀、剪等把紙或布割裂、剪開。[例]剪裁、裁布、裁紙
2.削減。[例]裁軍、裁員
3.衡量、判斷。[例]裁判、裁奪、裁量
4.安排取捨。[例]別出心裁
5.控制。[例]獨裁
6.殺。[例]自裁
7.體制、格式。[例]體裁"
"裁併","ㄘㄞˊ　ㄅㄧㄥˋ","裁撤合併。[例]為精簡人事，市府各單位即將大幅裁併。"
"裁判","ㄘㄞˊ　ㄆㄢˋ","1.依競賽規則，對競賽成績或競賽中所發生的問題作公平的處置或評判。[例]由於裁判失當，參賽的一方憤而退場。
2.依競賽規則處置競賽中所發生的問題及評斷勝負的人。[例]經過激烈的比賽後，裁判宣布我隊獲勝。　△裁判員
3.法律上指審判機關依事實和法律，對當事人或訴訟關係人所作的決定。可分為判決及裁定。[例]這場官司法院裁判原告勝訴。"
"裁判員","ㄘㄞˊ　ㄆㄢˋ　ㄩㄢˊ","依競賽規則處置競賽中所發生的問題及評斷勝負的人。　△裁判"
"裁縫","ㄘㄞˊ　ㄈㄥˊ","1.對布料的裁剪縫製。[例]她利用空閒時間去學裁縫。
	
2.剪裁及縫製衣服的人。[例]那個裁縫做工細緻、價錢公道，吸引不少顧客。
"
"裁定","ㄘㄞˊ　ㄉㄧㄥˋ","法院就某事件斷定其是否合法或正當。[例]這件房屋所有權案，法官最後裁定原告勝訴。"
"裁奪","ㄘㄞˊ　ㄉㄨㄛˊ","裁決定奪。[例]他將做好的企劃案呈交董事長裁奪。"
"裁量","ㄘㄞˊ　ㄌㄧㄤˊ","推測度量而定取捨。[例]主管單位經多方裁量，才公布這項方案。"
"裁剪","ㄘㄞˊ　ㄐㄧㄢˇ","按一定的尺寸把紙張或布料裁開。常指縫製衣服。[例]她正在裁剪布料，準備做一件旗袍。"
"裁減","ㄘㄞˊ　ㄐㄧㄢˇ","刪減、削減。[例]由於景氣不佳，各公司紛紛裁減預算。"
"裁決","ㄘㄞˊ　ㄐㄩㄝˊ","1.裁奪判決。[例]對於有爭議的部分，我們將送請上級裁決。
2.行政官署依據法令對於具有違法事實的人，科以一定處罰。[例]這件車禍的責任歸屬，將送交通事件裁決所裁決。"
"裁軍","ㄘㄞˊ　ㄐㄩㄣ","裁減軍隊與軍事裝備。[例]美蘇冷戰結束後雙方協議裁軍，以維護世界和平。"
"裁製","ㄘㄞˊ　ㄓˋ","裁剪製作。[例]這件衣服是由母親親自為我裁製的。"
"裁撤","ㄘㄞˊ　ㄔㄜˋ","取消、撤除。[例]這個部門才剛設立，怎麼就被裁撤了呢？"
"裁示","ㄘㄞˊ　ㄕˋ","上級長官對事情的決定或批示。[例]奉上級裁示，春節休假五日。"
"裁員","ㄘㄞˊ　ㄩㄢˊ","公司、機關為節省經費而緊縮編制或削減閒散不必要的人員。[例]最近經濟不景氣，各公司紛紛裁員。"
"纔","ㄘㄞˊ","1.方、始、剛剛。通「才」。[例]他纔出去一會兒，朋友就來了。
2.僅、只有。通「才」。[例]他畢業纔半年，就換了三個工作。"
"采","ㄘㄞˇ","1.神色。[例]神采、丰采、興高采烈
2.顏色。同「彩」。[例]多采多姿
3.讚美、誇獎的歡呼聲。[例]喝采
4.摘取。同「採」。"
"采風","ㄘㄞˇ　ㄈㄥ","周代官府定期派人到民間采集詩歌，編成國風，遂稱搜集民歌為「采風」。後亦稱采集民間風俗習慣等為「采風」。[例]他們上星期到澎湖采風，收集不少珍貴資料。"
"採","ㄘㄞˇ","1.摘取。[例]採花、採擷、採摘
2.擇取。[例]採納、採取、採用
3.掘取。[例]開採、採礦、採掘"
"採買","ㄘㄞˇ　ㄇㄞˇ","1.採購、買辦。[例]學會所需的文具用品，一向由總務負責採買。
2.學校或團體中負責採購事宜者。尤指買菜的人而言。[例]本校餐廳一向由採買負責採購廚房所需物品。"
"採訪","ㄘㄞˇ　ㄈㄤˇ","探採尋訪。通常指新聞記者訪問打探消息。[例]他在報社負責採訪財經新聞。"
"採納","ㄘㄞˇ　ㄋㄚˋ","接受。[例]他的改革理念獲上司認同，所以一提出就被採納。"
"採購","ㄘㄞˇ　ㄍㄡˋ","挑選購買。[例]他每星期上菜市場採購一次。"
"採光","ㄘㄞˇ　ㄍㄨㄤ","經過設計或角度的選擇而獲得適當的光線。為建築及攝影學上常考慮到的因素。[例]選購房屋一定要注意採光是否良好。"
"採礦","ㄘㄞˇ　ㄎㄨㄤˋ","以人力或機械方式開採地殼中或露在地表的礦物。[例]他們發現一處新的礦山，近日內將進行採礦工作。"
"採集","ㄘㄞˇ　ㄐㄧˊ","採取蒐集。[例]那個生物學家專門研究昆蟲，時常到山中採集標本。"
"採擷","ㄘㄞˇ　ㄐㄧㄝˊ","摘取。[例]我們要努力耕耘，才能採擷到甜美的果實。"
"採掘","ㄘㄞˇ　ㄐㄩㄝˊ","開採、挖掘。[例]那些工人受僱到此地採掘煤礦。"
"採取","ㄘㄞˇ　ㄑㄩˇ","選擇取用。[例]由於家境清寒，他決定採取半工半讀的方式完成學業。"
"採信","ㄘㄞˇ　ㄒㄧㄣˋ","採用相信。[例]他說的話沒有憑據，不足採信。"
"採行","ㄘㄞˇ　ㄒㄧㄥˊ","採納執行。[例]基於各方面的考量，他們決定採行這個方案。"
"採摘","ㄘㄞˇ　ㄓㄞ","採取、摘取。[例]他採摘路旁的果實解渴。"
"採證","ㄘㄞˇ　ㄓㄥˋ","採取證物。[例]警察封鎖命案現場，進行採證工作。"
"採收","ㄘㄞˇ　ㄕㄡ","採摘、收取。[例]現在正是採收芒果的季節，各農家都非常忙碌。"
"採用","ㄘㄞˇ　ㄩㄥˋ","選取、任用。[例]多方比較之後，他們決定採用本公司的產品。"
"彩","ㄘㄞˇ","1.顏色、顏料。[例]色彩、水彩、五彩繽紛
2.多種顏色的。[例]彩蝶、彩霞、彩衣
3.賭博或競賽中的獎品。"
"彩筆","ㄘㄞˇ　ㄅㄧˇ","畫筆。[例]這個畫家彩筆一揮，便是一幅好山好水。"
"彩排","ㄘㄞˇ　ㄆㄞˊ","戲劇、舞蹈等正式演出前，最後一次的排演。所使用的服裝道具皆與正式演出時一樣。後亦指大型活動舉辦前最後的排練。[例]這齣戲預定今天下午彩排，明天正式公演。
"
"彩頭","ㄘㄞˇ　ㄊㄡˊ","吉利的徵兆。[例]他在考試前總會到廟裡燒香，希望博個彩頭。"
"彩繪","ㄘㄞˇ　ㄏㄨㄟˋ","器物或建築上彩色的圖案。[例]這家工廠製造的陶瓷有各式各樣的彩繪，相當精美別緻。"
"彩虹","ㄘㄞˇ　ㄏㄨㄥˊ","大氣中的水氣因日照的折射及反射作用，於天空中形成弧形的帶狀景觀，由外圈到內圈呈紅、橙、黃、綠、藍、靛、紫七種顏色。[例]雨過天青，天邊出現了一道美麗的彩虹。"
"彩券","ㄘㄞˇ　ㄑㄩㄢˋ","一種賭博性的票券，對號中獎者可獲獎金。[例]購買彩券的人，大都做著一夜致富的美夢。"
"彩霞","ㄘㄞˇ　ㄒㄧㄚˊ","因陽光的照射而產生多種顏色變化的雲層。[例]傍晚時分，他喜歡坐在河堤上，欣賞滿天的彩霞。"
"彩色","ㄘㄞˇ　ㄙㄜˋ","多種顏色的。[例]這本童話故事書附有彩色插畫，深深吸引住小朋友。"
"彩釉","ㄘㄞˇ　ㄧㄡˋ","指器具表面含多種釉色。作法是先將陶瓷製品燒成無釉澀胎，然後上釉入窯複燒，或一火即成；或數火乃成。一般以低溫燒成居多。[例]那一只清代乾隆年間的彩釉花瓶，斑駁絢麗，令人賞心悅目。"
"彩雲","ㄘㄞˇ　ㄩㄣˊ","絢麗的雲朵。[例]朝辭白帝彩雲間，千里江陵一日還。（唐．李白〈早發白帝城〉詩）"
"睬","ㄘㄞˇ","理會。[例]理睬"
"綵","ㄘㄞˇ","五彩的絲織品。[例]剪綵、綵球、張燈結綵"
"綵球","ㄘㄞˇ　ㄑㄧㄡˊ","用紅色綵綢結成的球。[例]那部新娘禮車結了幾個綵球，顯得喜氣洋洋。"
"踩","ㄘㄞˇ","用腳在物體上面踐踏。[例]踩草皮、踩高蹺、一腳踩空　◎"
"踩踏","ㄘㄞˇ　ㄊㄚˋ","踐踏。[例]維護公園的景觀，請勿踩踏草坪。"
"菜","ㄘㄞˋ","1.蔬類的總稱。[例]白菜、果菜、蔬菜
2.餚饌的總稱。[例]湘菜、川菜、素菜
3.差勁的、不出色。[例]菜鳥"
"菜圃","ㄘㄞˋ　ㄆㄨˇ","種菜的園圃。[例]他在屋旁闢了一個菜圃，種些當令的蔬菜。"
"菜刀","ㄘㄞˋ　ㄉㄠ","廚房裡專門用來切肉、菜等的刀。[例]那把新買的菜刀，非常鋒利好用。"
"菜單","ㄘㄞˋ　ㄉㄢ","1.開列菜色名稱的單子。[例]服務生送上菜單，請客人點菜。
2.購菜的清單。[例]主廚開列菜單，採買按數採購即可。"
"菜頭","ㄘㄞˋ　ㄊㄡˊ","→蘿蔔"
"菜鳥","ㄘㄞˋ　ㄋㄧㄠˇ","戲稱剛進入新環境而對諸事不熟的人。[例]最近公司業務部新進一名菜鳥，你們要多多照顧人家呀！"
"菜市場","ㄘㄞˋ　ㄕˋ　ㄔㄤˇ","集中販賣魚肉蔬菜等的場所。[例]一大清早，菜市場就擠滿了買菜的人潮。"
"菜色","ㄘㄞˋ　ㄙㄜˋ","1.菜餚的式樣。[例]這家餐廳的菜色繁多，任君選擇。
2.因飢餓而營養不良的臉色。[例]他是剛從災區逃出來的難胞，難怪面有菜色。"
"菜餚","ㄘㄞˋ　ㄧㄠˊ","泛指各式菜肉。[例]姐姐烹飪手藝很好，做出來的每一道菜餚都色香味俱全。"
"菜園","ㄘㄞˋ　ㄩㄢˊ","種蔬菜的園圃。[例]自家菜園種的菜，既新鮮，又無農藥汙染，吃起來很放心。"
"蔡","ㄘㄞˋ","1.古國名。周朝分封的姬姓諸侯國。故址約在今河南新蔡、上蔡、汝南一帶，後為楚所滅。
2.姓。"
"操","ㄘㄠ","1.持、拿。[例]操刀
2.掌握。[例]穩操勝算
3.從事。[例]重操舊業
4.訓練、鍛鍊。[例]操兵演練、軍事操演
5.使用某種語言或口音說話。[例]操北方口音
6.品格、德行。[例]節操、操守、操行
7.一種鍛鍊筋骨的運動。[例]體操、早操、健美操"
"操兵","ㄘㄠ　ㄅㄧㄥ","訓練軍隊。[例]國軍將士頂著烈日，在廣場上操兵，勤練戰技。"
